cage,number in cage,diet,date (start to end),food initial (g),food final (g),intake (total g),intake (total kcal),intake (kcal per day),intake (kcal per hour),discard,notes
2154,,Keto,6/14/19-6/17/19,274.6,262.6,12.0,76.8,25.6,1.1,,
2155,,Control,6/14/19-6/17/19,221.7,189.0,32.7,124.3,41.4,1.7,,
2159,1,Control,6/14/19-6/17/19,221.3,206.7,14.6,55.5,18.5,0.8,,
2160,1,Control,6/14/19-6/17/19,219.0,200.6,18.4,69.9,23.3,1.0,,
2165,,Keto,6/14/19-6/17/19,267.2,258.2,9.0,57.6,19.2,0.8,,
2166,,Keto,6/14/19-6/17/19,265.6,245.6,20.0,128.0,42.7,1.8,,
2133,,Control,6/17/19-6/19/19,216.9,205.5,11.4,,,,,
2134,,Keto,6/17/19-6/19/19,274.7,263.5,11.2,,,,,
2154,,Keto,6/17/19-6/19/19,272.4,263.4,9.0,,,,,
2155,,Control,6/17/19-6/19/19,216.4,195.2,21.2,,,,,
2159,1,Control,6/17/19-6/19/19,219.4,211.1,8.3,,,,,
2160,1,Control,6/17/19-6/19/19,217.2,210.9,6.3,,,,,
2165,,Keto,6/17/19-6/19/19,264.4,256.9,7.5,,,,,
2166,,Keto,6/17/19-6/19/19,267,253.9,13.1,,,,,
2177,,,6/18/19-6/19/19,209.6,196.2,13.4,,,,,
2133,,,6/19/19-6/21/19,218.5,204.8,13.7,,,,,
2134,,,6/19/19-6/21/19,278.5,264.5,14.0,,,,,
2154,,,6/19/19-6/21/19,276.5,265.9,10.6,,,,,
2155,,,6/19/19-6/21/19,217.6,193.1,24.5,,,,,
2159,1,,6/19/19-6/21/19,223.2,212.1,11.1,,,,,
2160,1,,6/19/19-6/21/19,220.8,212.9,7.9,,,,,
2165,,,6/19/19-6/21/19,268.9,262,6.9,,,,,
2166,,,6/19/19-6/21/19,271.9,253.5,18.4,,,,,
2176,,,6/18/19-6/21/19,269.1,253.4,15.7,,,,,
2177,,,6/19/19-6/21/19,213.2,196.4,16.8,,,,,
2133,,,6/21/19-6/24/19,215.1,198.3,16.8,,,,,
2134,,,6/21/19-6/24/19,273.6,257.9,15.7,,,,,
2154,,,6/21/19-6/24/19,272.8,260.7,12.1,,,,,
2155,,,6/21/19-6/24/19,214.3,181.2,33.1,,,,,
2159,,,6/21/19-6/24/19,219.9,209.6,10.3,,,,,
2160,1,,6/21/19-6/24/19,218.3,207.7,10.6,,,,,
2165,,,6/21/19-6/24/19,266.4,257.7,8.7,,,,,
2166,,,6/21/19-6/24/19,266.6,246.1,20.5,,,,,
2176,,,6/21/19-6/24/19,263.9,250.3,13.6,,,,,
2177,,,6/21/19-6/24/19,209.2,189.6,19.6,,,,,
2133,,,6/24/19-6/26/19,217.1,206,,,,,,
