age,animal.id,MouseID,Sex,Genotype,values,assay,experiment.date
75,22128,8148,M,fl/fl; +/+,25800,Body Weight,2019-05-17
75,22128,8148,M,fl/fl; +/+,1890,Total Fat Mass,2019-05-17
75,22128,8148,M,fl/fl; +/+,21760,Lean Mass,2019-05-17
93,22128,8148,M,fl/fl; +/+,27200,Body Weight,2019-06-04
93,22128,8148,M,fl/fl; +/+,2020,Total Fat Mass,2019-06-04
93,22128,8148,M,fl/fl; +/+,22470,Lean Mass,2019-06-04
100,22128,8148,M,fl/fl; +/+,25900,Body Weight,2019-06-11
107,22128,8148,M,fl/fl; +/+,3380,Total Fat Mass,2019-06-18
107,22128,8148,M,fl/fl; +/+,21260,Lean Mass,2019-06-18
107,22128,8148,M,fl/fl; +/+,26900,Body Weight,2019-06-18
100,22128,8148,M,fl/fl; +/+,21410,Lean Mass,2019-06-11
100,22128,8148,M,fl/fl; +/+,2220,Total Fat Mass,2019-06-11
114,22128,8148,M,fl/fl; +/+,27500,Body Weight,2019-06-25
114,22128,8148,M,fl/fl; +/+,2610,Total Fat Mass,2019-06-25
114,22128,8148,M,fl/fl; +/+,19750,Lean Mass,2019-06-25
120,22128,8148,M,fl/fl; +/+,26900,Body Weight,2019-07-01
120,22128,8148,M,fl/fl; +/+,3540,Total Fat Mass,2019-07-01
120,22128,8148,M,fl/fl; +/+,21250,Lean Mass,2019-07-01
75,22129,8149,M,fl/fl; +/+,23600,Body Weight,2019-05-17
75,22129,8149,M,fl/fl; +/+,2160,Total Fat Mass,2019-05-17
75,22129,8149,M,fl/fl; +/+,18880,Lean Mass,2019-05-17
93,22129,8149,M,fl/fl; +/+,24200,Body Weight,2019-06-04
93,22129,8149,M,fl/fl; +/+,1850,Total Fat Mass,2019-06-04
93,22129,8149,M,fl/fl; +/+,20120,Lean Mass,2019-06-04
100,22129,8149,M,fl/fl; +/+,24000,Body Weight,2019-06-11
107,22129,8149,M,fl/fl; +/+,2880,Total Fat Mass,2019-06-18
100,22129,8149,M,fl/fl; +/+,1950,Total Fat Mass,2019-06-11
107,22129,8149,M,fl/fl; +/+,19530,Lean Mass,2019-06-18
107,22129,8149,M,fl/fl; +/+,24600,Body Weight,2019-06-18
100,22129,8149,M,fl/fl; +/+,19870,Lean Mass,2019-06-11
114,22129,8149,M,fl/fl; +/+,25700,Body Weight,2019-06-25
114,22129,8149,M,fl/fl; +/+,3520,Total Fat Mass,2019-06-25
114,22129,8149,M,fl/fl; +/+,22530,Lean Mass,2019-06-25
120,22129,8149,M,fl/fl; +/+,25400,Body Weight,2019-07-01
120,22129,8149,M,fl/fl; +/+,2990,Total Fat Mass,2019-07-01
120,22129,8149,M,fl/fl; +/+,20380,Lean Mass,2019-07-01
75,22131,8151,F,fl/fl; +/+,19400,Body Weight,2019-05-17
75,22131,8151,F,fl/fl; +/+,2250,Total Fat Mass,2019-05-17
75,22131,8151,F,fl/fl; +/+,15120,Lean Mass,2019-05-17
93,22131,8151,F,fl/fl; +/+,21100,Body Weight,2019-06-04
93,22131,8151,F,fl/fl; +/+,1410,Total Fat Mass,2019-06-04
93,22131,8151,F,fl/fl; +/+,17720,Lean Mass,2019-06-04
100,22131,8151,F,fl/fl; +/+,19800,Body Weight,2019-06-11
107,22131,8151,F,fl/fl; +/+,2450,Total Fat Mass,2019-06-18
107,22131,8151,F,fl/fl; +/+,16040,Lean Mass,2019-06-18
107,22131,8151,F,fl/fl; +/+,20500,Body Weight,2019-06-18
100,22131,8151,F,fl/fl; +/+,15900,Lean Mass,2019-06-11
