"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSMUSG00000000001",541.486923293237,0.208661855253259,0.102599939153011,2.03374248538369,0.0419775661534487,0.366457694432507,"Gnai3"
"ENSMUSG00000000003",0,NA,NA,NA,NA,NA,"Pbsn"
"ENSMUSG00000000028",22.6566131817638,-0.437764359326224,0.353193246716387,-1.23944713947984,0.2151799532909,0.668766134821746,"Cdc45"
"ENSMUSG00000000037",3.14558157448297,0.0777407946656686,1.0210089036755,0.0761411525264979,0.939306800167817,0.988113984941501,"Scml2"
"ENSMUSG00000000049",0.297079588909445,-1.90791499547402,3.12634780213513,-0.610269591301075,0.541683237058463,NA,"Apoh"
"ENSMUSG00000000056",527.242809158127,-0.0693097440616946,0.123362555325503,-0.561837778723167,0.57422654983472,0.888321773283506,"Narf"
"ENSMUSG00000000058",239.314854559653,1.46697021465342,0.399402881123672,3.67290844404095,0.000239805420691783,0.0330279582323654,"Cav2"
"ENSMUSG00000000078",1185.62756869172,0.449512188044694,0.275194303237779,1.63343565893622,0.102377402454772,0.522548475529783,"Klf6"
"ENSMUSG00000000085",233.598290454283,0.516360338661373,0.320990467869536,1.60864695481002,0.107693560832833,0.534530454456696,"Scmh1"
"ENSMUSG00000000088",940.070267612549,-0.178349776878726,0.0954037646331381,-1.86942074628339,0.061564300443647,0.431924414487426,"Cox5a"
"ENSMUSG00000000093",54.0121774144818,-0.0597114883643849,0.221974447115129,-0.269001631225666,0.787928427385349,0.956409058859294,"Tbx2"
"ENSMUSG00000000094",0.405785907530888,1.8924317866969,3.11131635420747,0.60824151942561,0.543027301112706,NA,"Tbx4"
"ENSMUSG00000000103",0,NA,NA,NA,NA,NA,"Zfy2"
"ENSMUSG00000000120",3.98359523779498,-0.577057593613341,0.832060179985556,-0.693528674360259,0.487977837361604,0.849693580558699,"Ngfr"
"ENSMUSG00000000125",0.19108304649157,0.782697843081597,3.14975185020746,0.248495081614141,0.803751375068088,NA,"Wnt3"
"ENSMUSG00000000126",29.3951004907768,-0.721734471894261,0.357267876462451,-2.02014935974832,0.0433678972107156,0.371654558752981,"Wnt9a"
"ENSMUSG00000000127",284.315563374939,-0.0491913323141433,0.11970336091614,-0.410943618772785,0.681113877406941,0.927460305710776,"Fer"
"ENSMUSG00000000131",835.586475654845,-0.172401816908242,0.214084158903154,-0.805299270116628,0.42064700288263,0.81488479867693,"Xpo6"
"ENSMUSG00000000134",572.856755210955,-0.116031794106243,0.120756319353654,-0.960875544462608,0.336614748508115,0.766241466998736,"Tfe3"
"ENSMUSG00000000142",21.5602232481058,-2.22478107199702,0.774113114958369,-2.87397413763835,0.00405342153660882,0.139567567762943,"Axin2"
"ENSMUSG00000000148",234.982353900255,-0.155197901739997,0.105811886820116,-1.46673409201973,0.142448404916473,0.586909753112329,"Brat1"
"ENSMUSG00000000149",178.000340649435,0.136507464246587,0.119887275750571,1.1386317971775,0.254856760331836,0.707562714805374,"Gna12"
"ENSMUSG00000000154",78.2420067092668,1.26812272945739,0.56251905141536,2.25436405445584,0.0241732746859338,0.301758984541897,"Slc22a18"
"ENSMUSG00000000157",0,NA,NA,NA,NA,NA,"Itgb2l"
"ENSMUSG00000000159",153.771560702943,-0.0301670390789752,0.115150886976533,-0.261978347462691,0.793338135567224,0.957169803825535,"Igsf5"
