"","1415-NEH-1","1415-NEH-10","1415-NEH-11","1415-NEH-2","1415-NEH-3","1415-NEH-4","1415-NEH-5","1415-NEH-6","1415-NEH-7","1415-NEH-8","1415-NEH-9"
"ENSMUSG00000000001",584.272780875286,454.820061273585,652.163318676073,601.476441316241,545.121627695174,427.71210559543,553.930219145907,478.913297780252,553.902028968517,532.158575838837,571.885699060301
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",20.7655781742353,22.6648442362027,16.2361777561782,46.2326490916295,17.4762222574783,36.4624713897053,20.4516003772783,17.2730726482561,18.1825055124518,12.066193919285,21.4114296367015
"ENSMUSG00000000037",2.19804637074825,2.59770076649171,1.41077734005938,1.74786302859401,0.790623029342523,1.02074578047382,2.86179010338146,0,0.742131961133368,14.1519206946171,7.07979824447106
"ENSMUSG00000000049",0,1.07280953813808,0,2.19506593986582,0,0,0,0,0,0,0
"ENSMUSG00000000056",494.248162104447,423.973739641406,495.948655557347,610.830407513618,486.866228053661,518.047374010324,438.342024888224,601.380611206119,602.049791725035,550.283888267797,577.70001777142
"ENSMUSG00000000058",238.95224838334,310.388208313153,296.990563714112,70.0315107617911,278.486934016554,57.2169508019776,319.740711122011,79.6632873857099,412.624775380559,92.1317451170309,476.236465159949
"ENSMUSG00000000078",1899.00596452483,871.226129928466,1978.22404707712,1043.59242788345,1699.52440025571,762.50167582792,844.432107185905,1063.01205266589,949.787144272408,1202.60832508606,727.988980901193
"ENSMUSG00000000085",293.634944252494,278.743877581973,330.838726353748,150.548638288443,348.256163115954,118.087168673447,351.16052042456,202.505352182541,205.961999342535,195.83765691793,94.0061478634856
"ENSMUSG00000000088",805.566843051442,1091.88965770527,898.824901415838,931.963860925198,795.243653090073,1016.80996857023,1022.39034981724,1102.96255620984,899.623518629051,873.892143651231,901.605490672623
"ENSMUSG00000000093",38.9387004383833,41.4544030013223,52.0434902747185,54.2079969714076,64.4075553917395,51.8170254807356,65.326301898051,49.4899295385362,48.4462163584394,77.8773952016103,50.1249370043557
"ENSMUSG00000000094",0,0,0,0,1.05482346904989,0,0,0,0,0,3.40882151378988
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",6.19126550482503,10.7857884275125,0,4.35759820310553,4.27728169701317,2.55059462882654,5.12872776949625,3.9340816957684,3.77036583347877,2.82384385571866,0
"ENSMUSG00000000125",0,0,0,0,2.10191351140727,0,0,0,0,0,0
"ENSMUSG00000000126",13.6633038289392,23.6784115257142,23.0762580404978,38.1242048316485,37.3959630888627,25.5107090880612,13.3543342766845,45.2515368236118,31.076491420349,53.8423805769075,18.3725118972688
"ENSMUSG00000000127",284.196834599136,315.218549845958,330.418390246756,294.356516205306,312.892695201868,262.207521055206,278.489751196515,288.244799512977,218.061307562361,287.331096828064,256.053734870181
"ENSMUSG00000000131",812.331581203922,899.832689999189,587.772680836558,604.513137551541,879.318134879954,764.898753219784,932.747407605108,802.018545104898,602.676768605854,1380.22491607078,925.116617125705
"ENSMUSG00000000134",526.36222316305,519.966243470998,583.128540044757,748.91088344273,546.065209153362,543.204448644624,485.491935210931,658.963021286266,621.646977290031,519.921791055129,547.763034558625
"ENSMUSG00000000142",6.84680972560122,51.9465210866761,2.93735675622356,47.2743009568536,7.01580367520009,8.46741822844505,18.3974776904144,1.39995227477897,6.25197938500486,80.6817915206007,5.94304442936563
