,ID,BW1,BW2,BW3,BW4,BW5,BW6,BG1,BG2,BK_0,BK_15,BK_30,BK_45,BK_60,FK_0,FK_15,FK_30,FK_45,FK_60,EWAT,FIB,FI4,FI5,FI6,X,Cck_intestine,Fgf15_intestine,Fgf23_intestine,Gcg_intestine,Gdf15_intestine,Npc1l1_intestine,PYY_intestine,Cholesterol_Baseline,Cholesterol_Followup,TG_Baseline,TG_Followup,Glycerol_Baseline,Glycerol_Followup
19,3920,23.4,27.5,28.1,31.4,32.3,33,233,195,0.4,3.1,2.4,1.7,1,1.6,4.4,4.3,3.8,3.3,0.4641,20.5,2.04,2.04,2.13,20,0.165135171,NA,1.01930455,1.884743848,0.478118384,0.157586566,0.021226088,97.48612263,182.0251737,2.243220282,0.715772174,0.192495076,1.000480083
20,3921,23.9,24.5,25,26.1,27.2,34.7,115,162,0.4,4.3,2.3,0.8,0.6,0.8,5,4.7,2.4,1.2,0.6007,NA,NA,NA,NA,21,0.767792441,0.213881271,1.517347445,0.871684832,2.101745669,1.007703498,1.201191077,132.0674953,176.5423874,1.203012536,0.838463421,0.285862232,0.558781613
21,3922,26,29.8,33,37.4,36.3,35.9,144,190,0.3,4.4,1.8,0.7,0.4,0.6,4.9,3.9,1.8,0.8,0.4378,NA,NA,NA,NA,22,0.770321674,NA,0.149960664,0.042307874,0.724506606,0.804363527,0.348910434,96.04650836,131.3017431,1.640601694,0.476208729,0.289453277,0.357683122
22,3923,23.8,28.6,28.6,31.5,33,28,154,164,0.5,5.7,2.9,1.2,0.6,0.7,2.9,3.3,1.8,1.3,0.6218,NA,NA,NA,NA,23,1.020812478,0.100241693,2.439975097,0.426904929,1.451999951,1.629985353,1.79718394,71.69558604,79.32247869,0.786377592,0.750463465,0.271498054,0.616238324
23,3924,26.3,32.9,29.7,32.6,34.4,37.3,109,220,0.5,3.6,2.1,1,1.1,0.6,4.1,3.2,1.6,0.9,0.7252,NA,NA,NA,NA,24,1.640821397,0.304147239,0.895731703,0.36808044,3.014673429,1.965510602,3.304227482,94.66815426,98.619436,1.571466246,1.106329153,0.188904032,0.501324901
24,3925,29.2,37.3,35.8,42.2,NA,NA,186,NA,0.5,4.8,2.3,0.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.08793145,NA,1.818730047,NA,0.382820433,NA
25,3926,17.2,20.7,21.2,20.6,19.6,21.4,170,182,0.2,4,2.4,1.2,0.8,0.7,4.1,3.6,2.4,1.4,0.3656,NA,NA,NA,NA,25,0.837381299,NA,0.10507097,NA,0.807999845,0.365656952,0.24956602,83.61069143,127.9630631,1.16047332,3.13042962,0.257133877,0.598283102
26,3927,22.5,28.4,29.5,34.2,35.9,33.7,157,111,0.3,4.3,1.7,0.7,1,0.3,5.1,4.2,2,0.9,0.7785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.70812796,95.5564269,0.978123137,0.849871023,0.117083142,0.289453277
27,3928,22.6,27.4,27.9,31.2,34.3,31.1,217,78,0.3,3.1,1.9,0.8,0.6,0.6,3.7,3.6,2.3,1.4,0.663,NA,NA,NA,NA,26,1.044766946,0.718572374,0.280700763,0.070720164,0.5067869,0.531382177,1.110884212,85.90794825,91.08443362,1.126064213,0.366503889,0.142220453,0.501324901
28,3929,24.1,27.6,28.6,33.6,38,36.4,177,193,0.4,4.1,2.3,1.2,0.7,0.5,5.2,5.6,5.2,4.3,1.0616,NA,NA,NA,NA,27,0.883052531,NA,0.459349549,NA,0.412358965,0.354923252,0.535964196,101.5292946,123.0316185,0.668271508,0.397561718,0.073990608,0.368456255
29,3930,22.3,25.8,26.8,31.5,31.7,31.2,175,196,0.4,4.9,2.7,1.8,1.6,0.9,4.8,4.7,2.7,1.6,0.6007,NA,NA,NA,NA,28,0.576629447,NA,3.271769352,7.462651565,1.554161984,2.781262944,1.101533104,82.84493915,116.4461489,0.711441509,0.076143871,0.152993587,0.659330858
30,3932,20.8,26.3,25.5,31,32,31.6,292,195,0.4,4,1.5,0.7,0.6,0.6,1.9,2.3,1.6,1.3,0.8124,NA,NA,NA,NA,29,1.478770088,0.197536816,0.901394996,0.78545454,1.630207149,1.143063306,1.266358443,83.39628079,96.44469954,1.005307739,0.900261846,0.486960723,0.422321922
31,3933,27.4,36.5,35.8,44.5,48.4,49.7,235,227,0.4,3.3,2.7,0.8,0.7,0.4,3.2,3.5,2.8,2.9,1.1109,NA,NA,NA,NA,30,2.674814338,0.036728247,0.462209014,0.183969564,0.492431322,1.357141946,1.3253287,84.28455343,130.934182,4.246405268,0.428929416,0.361274166,0.723969659
32,3934,19.9,24.1,24.3,28,30.8,32.2,203,249,0.3,3.3,2.1,1.1,0.8,0.6,4.7,4.1,2.2,1.4,0.8374,NA,NA,NA,NA,31,1.383917823,NA,0.324166026,0.298667869,1.019431023,0.791710866,0.309086676,84.97373047,109.6768988,1.422418534,0.47951759,0.307408499,0.85324726
33,3935,23,30.6,31.2,35.9,35.7,37.4,174,106,0.3,4.3,1.8,0.7,0.6,0.6,4.7,4.6,2,1.2,0.7943,NA,NA,NA,NA,32,0.391747686,NA,0.606836524,0.336397803,1.644174782,1.004610057,0.104459371,117.5794623,169.4668364,1.126021797,1.160299972,0.390002522,1.557091977
34,3936,27.7,33.8,31.8,35.3,34.8,34.7,202,163,0.2,3.3,1.7,1.1,0.4,0.4,3.9,3.8,3,2.9,0.7218,NA,NA,NA,NA,33,0.208821396,0.7028886,0.359516621,1.163627103,0.639381678,0.677992159,0.005656433,89.70607953,102.1265814,0.920151841,0.866750976,0.307408499,1.09384724
35,3937,24.6,30.5,29.4,32.6,33.7,27.6,205,103,0.4,3.7,2.1,1.5,0.9,1,4.2,4.2,2.4,2,0.1417,NA,NA,NA,NA,34,0.180320511,0.923397589,1.048588374,0.664134559,0.488776495,0.659408707,0.635672643,105.7562472,144.6870928,1.494042073,0.807211924,0.239178654,0.386411478
36,3938,22.6,27,25.1,NA,NA,NA,162,NA,0.3,3.1,1.7,0.8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.2049056,NA,1.307783611,0.046319927,0.231996565,NA
37,3939,26.7,34.6,33.8,37.7,38.1,33.4,188,113,0.2,3.8,2,0.8,0.7,0.6,4.6,4.2,2.4,1.4,0.5415,NA,NA,NA,NA,35,0.357050721,0.015329852,0.327922856,0.128096228,0.489463184,0.749069161,0.352457849,121.9595653,124.3487124,1.292866115,0.576994059,0.318181633,0.314590588
38,3940,24.4,31.3,30.1,35.3,35.6,32.7,195,159,0.3,3.3,2.2,1,0.7,0.4,3,3.1,1.6,0.9,0.4613,NA,NA,NA,NA,36,0.212869972,0.129221124,0.103807018,0.109960569,0.344771394,0.44800865,0.003109823,140.8583314,140.0925792,1.209130405,0.723673564,0.174539854,0.239178654
39,3941,25,26.9,29.3,29,32.7,33.6,179,201,0.3,2.9,1.4,0.8,0.4,0.4,2.8,2.8,2.2,1.4,0.5299,48.1,2.41,2.41,3.85,37,2.567328088,NA,0.45906587,0.329677216,1.993258666,2.354653256,2.248103822,78.12790514,145.1159141,0.731134154,0.440763087,0.041671208,1.12616664
40,3942,20.6,28.2,26.1,31.5,30.4,26,216,186,0.3,2.6,1.2,0.6,0.4,0.6,2.6,2.9,1.9,1.4,0.2074,5.7,1.97,1.97,1.49,38,0.858861737,0.289147499,0.293686655,NA,0.336252605,0.095729381,0.227169744,89.67544944,132.1900157,0.958550376,0.269506954,0.102718964,0.537235346
41,3943,27.5,32.3,31.4,30.5,29.2,31.1,194,196,0.4,2.3,1.8,1.1,0.8,0.8,3.1,2.4,2,1.2,0.2495,20.3,2.41,2.41,8.34,39,0.390304779,3.086917429,1.362644341,NA,0.441197107,0.604345354,0.299301061,127.901803,153.3860386,2.009724924,0.41196463,0.303817455,0.415139834
42,3944,26.4,36.6,33.6,41,44.4,39.4,194,106,0.3,2.1,1.8,0.8,0.7,0.7,4.7,4.2,3.2,2.6,0.9731,7,2.79,2.79,1.34,40,0.683730045,NA,0.674383621,0.81427293,0.569153589,0.526713236,0.655215184,90.24210612,134.0584512,0.569064984,0.494872204,0.088354786,0.512098034
43,3945,21.5,26.6,23.1,25.7,28.3,29.7,276,173,0.4,0.5,0.8,0.8,1.1,0.6,3.2,3.4,3,2.7,0.6471,5.1,1.79,1.79,4.2,41,0.642193914,0.047741467,0.117856872,0.015689952,0.681126049,0.398961987,0.90474995,87.92953425,139.2349366,1.253999094,0.955540335,0.09912792,1.02202635
44,3946,24.3,24.8,26,27,27.6,28.2,176,194,0.3,2.5,2.3,1.6,1.1,0.4,2.7,2.3,1.7,0.8,0.3112,NA,NA,NA,NA,42,1.238926466,0.55185565,1.232214995,0.669616798,1.509324138,1.399531804,0.991691361,83.27376043,131.271113,1.063360185,0.418667185,0.109901053,0.910703971
45,3947,19.1,23.9,23.7,22.8,27.3,28.1,277,194,0.4,3.2,3.2,1.3,0.8,0.8,3.1,2.9,1.2,1.2,0.5557,NA,NA,NA,NA,43,1.002028299,0.017186729,0.489206705,1.485514535,1.172495858,0.777981974,0.467376478,93.04475944,75.95316868,0.902316502,0.441002854,0.199677165,0.874793527
46,3948,23,33.8,32.1,37.2,39.6,36,256,132,0.4,3.3,2.1,1.2,0.8,0.6,3.6,3.5,1.9,0.9,1.0225,NA,NA,NA,NA,44,0.196815196,NA,0.496236388,1.358059538,0.694542132,0.435638475,0.217966626,117.7632428,147.1987603,0.807846392,1.169822583,0.127856275,0.519280123
47,3949,20.6,26.2,24.5,27.3,29.4,29.1,196,218,0.4,1.4,0.7,0.6,0.6,0.7,4.7,3.9,2.3,1.6,0.4166,NA,NA,NA,NA,45,0.855016915,NA,0.753328892,0.28024468,2.172380368,1.502453932,1.050550173,111.9435256,143.7988202,0.81991983,1.362787282,0.278680143,0.713196525
