"","external_gene_name","log2FC_TSC","pval_TSC","padj_TSC","log2FC_KD","pval_KD","padj_KD","Ratio"
"1","Tbx4",1.23004072256005,1.66183070476131e-07,0.00000279661420395475,1.86525762523196,0.00121778279152557,0.00659817655941789,0.659448167331355
"2","Wnt9a",0.28855762496453,0.0305597224546656,0.0932793340471448,2.44898947504674,0.000549362594270798,0.00392472712881471,0.117827221351787
"3","Gna12",0.796105826596945,1.89510680331506e-08,3.91523962462115e-07,0.907803912748108,0.000682839791040709,0.00452960103187631,0.876957915049044
"4","Pemt",0.718805996982448,0.033607491589973,0.10026193825437,0.920131943665286,0.0030414122946624,0.0123889754246359,0.78119882907133
"5","Cdh4",-2.07326603129544,9.95508250744911e-08,0.00000175215680545603,-1.57602460965986,0.00202569015724465,0.00933871530020352,1.31550358959362
"6","Ckmt1",6.1694581005278,6.53600954059833e-26,1.43274422124363e-23,1.81153471347742,0.000328405255094184,0.00283309208301507,3.40565270686142
"7","Alox12",0.86288199031447,0.0323742273467549,0.097614252123236,1.70191278406635,0.00136115847999265,0.00711598569678318,0.507007173571375
"8","Tbrg4",0.274708963522297,0.0314464903711762,0.0954896955830981,1.05042718266728,0.000118709848193131,0.00155955824532527,0.261521186861088
"9","Itga5",1.37731052969388,2.25009911460415e-07,0.00000364835955383318,2.49048567836934,1.80282531390471e-07,0.000110113933522158,0.553028889768875
"10","Sox9",1.42635411883724,0.000295049165200089,0.00203769838764824,1.7796380903202,0.015360346830679,0.0399865513656826,0.801485496739736
"11","Chmp1a",0.436783472665457,0.000748304686259466,0.00453523691180378,1.34275239832577,0.0000162651165521855,0.000573586000904289,0.325289661154257
"12","Ddx3x",-0.603724829719142,2.3531802975054e-09,6.08259268630836e-08,-1.51091097221303,0.000128819839257084,0.00162970647134187,0.39957670625349
"13","Slc5a5",1.85990591148959,0.00713986748964792,0.0295812035733351,1.90496640036154,0.00728564062576238,0.0231825651095322,0.976345782863465
"14","Kcnn3",1.23669620454876,0.00514571048527068,0.0224720432809531,0.830819552666195,0.0412102826747794,0.0848392035603226,1.48852563782359
"15","Car4",-0.711896093040089,0.00914154293746042,0.0360941855216598,-1.13625784207827,0.000211753397334711,0.00217756332728247,0.626526890884202
"16","Dnajc5",0.36830867698249,0.0000490770282690925,0.000431443312580215,0.433563392662482,0.0154270823799812,0.040137112340325,0.849492100153412
"17","Mmp11",0.632433537206522,0.000367882872358253,0.00244497752360529,0.696351536859106,0.00788671332255693,0.0245784036457048,0.908210154973039
"18","Smarcb1",0.523828391837091,0.000164444782023434,0.00123747814345677,0.49759893312166,0.0248454436805489,0.0575647172470032,1.05271204773467
"19","Ilf2",-0.268302231688611,0.0274286311323116,0.0859375246313423,-0.727114861137689,0.0366673387826646,0.0776145701617757,0.368995664961116
"20","Epn2",0.374770243383077,0.000334310745962585,0.00226165574392885,1.67881998013685,0.00000245852428896341,0.000249734017920132,0.223234323999723
"21","Vps9d1",0.404145202539403,0.00219824740189061,0.0112029643407342,1.04677297696409,0.0000241603083650192,0.000686261011940935,0.386086774719318
"22","Luzp1",0.41397058706845,0.0050241614224326,0.0220783183153449,0.996969365038801,0.0000500923370308336,0.000986438490669581,0.415228994576317
"23","Poldip2",0.298047324767131,0.00304524129380255,0.0146607609235862,0.876412910779981,0.0000297196832681372,0.000762450190600827,0.340076373934151
"24","Araf",-0.217508653399902,0.0402350555218137,0.114969951270136,-1.63823727767245,0.00325723282518228,0.013019982065811,0.132769932881109
"25","Timp1",4.242233964787,1.64742471983236e-21,2.27805637435477e-19,0.650753507667813,0.0388182606023344,0.0810866736800465,6.51895673984214
"26","Gmcl1",0.631585995053515,0.0192793002768834,0.0650050558077338,2.27724714323993,0.0175314005253598,0.0441673385707884,0.277346267368649
"27","Agpat3",0.465582336868664,0.000059010021965078,0.000506627752161013,0.539806357058968,0.0037921765335946,0.0145187566928395,0.862498803099135
"28","Ckb",1.55308317646838,6.28806515257943e-09,1.45392125630669e-07,0.679008155199352,0.0011576996817722,0.00639321823773819,2.28728206660847
"29","Pfdn5",-0.293869682753238,0.0271634546437915,0.0852373956000291,-1.30856030184412,0.00000563819139537652,0.000355647650521506,0.224574811217407
"30","Rnd2",0.977914686732677,0.00000926853553555577,0.000100220122552624,1.50604892495748,0.0000997074276749611,0.00140748190784614,0.649324647112832
"31","Srr",0.529396609954536,0.000418604765770669,0.00273015063425159,0.634883877470243,0.010476108940266,0.0301002095505471,0.833847934623837
"32","Sync",0.519652205145645,0.0000487062302787263,0.000428853657211592,1.29345283401464,0.00077587788494284,0.00490096197322227,0.401755820915973
"33","Smg5",0.422260796685898,0.00559831014548508,0.024049665081628,0.410754770402235,0.00562889722093762,0.0192007779955747,1.02801191151693
"34","Snd1",0.302275313851552,0.00362502249202244,0.0169445457332724,0.868029869932649,0.00008708624152321,0.00130685839169394,0.3482314656695
"35","Kpnb1",0.352988712464387,0.0000853721536009447,0.000696133613831085,0.62188833565534,0.00104178210542451,0.0059517967554111,0.567607868207418
"36","Tubb6",0.686342371362586,0.00796958551603465,0.0323517638107621,0.622313206184826,0.0202397078233182,0.0492517029534625,1.10288897060421
"37","Meox1",0.687968395251927,0.0032509949135722,0.0154573360975169,0.80128788016278,0.000228209974221354,0.00227830473994228,0.858578311595288
"38","Itga3",0.308074756776073,0.0499546042154738,0.135103952019385,0.973502301328551,0.0005509119391683,0.00393387891165228,0.316460224444913
"39","Tulp3",0.477277867366997,0.000348958056461266,0.00234757394779183,2.08012986783616,0.0000680262943418825,0.00114541881569546,0.229446187349582
"40","Jup",0.804586251375879,0.0000579720366929745,0.000499704587054112,2.16439066467935,7.4656518561707e-08,0.00010027037958951,0.371737997444688
"41","Hoxc6",0.49812181330735,0.0118454510000334,0.0443521223224411,2.64124289257525,0.0000566219661749646,0.00104753173132361,0.188593716506577
"42","Gstt1",-0.852749636092029,5.81687913267529e-07,0.00000851544691070478,-0.417541398356589,0.0135150694047049,0.0363190815242565,2.04231158742196
"43","Gramd3",0.520953418420509,0.0079362895079312,0.032247624122381,0.619383204176652,0.0319812117802401,0.0697680483941476,0.841084186506178
"44","Akt1",0.287845125377873,0.024213414377321,0.0778028214876834,1.34727961213229,0.00000194570117498458,0.000232832604151088,0.213649136219252
"45","Coasy",0.534009759049294,0.00852528481117811,0.0341072013102335,0.449266946269846,0.00739423083834567,0.023438797093072,1.18862463282253
"46","Pwp1",-0.571143714215806,3.12093009151538e-07,0.00000488665853568535,-0.724182237208167,0.0487972047027911,0.0965645530823825,0.788674017216512
"47","Nup214",-0.360055740402914,0.00481278702035375,0.0213159360053925,-2.50986065520935,0.0000641019679095308,0.00110853637066248,0.143456466260627
"48","Nacc1",0.99721863774947,6.39017681085081e-11,2.17021719095273e-09,2.59372930127558,0.0000554439199493558,0.00103629203468914,0.384472904423389
"49","Uba1",0.18344048788435,0.0280413329263289,0.0873910004548569,0.699684440286966,0.00051629785061236,0.00378073540517422,0.262176028681036
"50","Sipa1l2",1.23673278706474,6.65400929805589e-13,3.12849646077675e-11,1.17540288459307,0.0000277589681027385,0.000736063249749388,1.05217777093758
"51","Ltbp2",1.41741706795711,0.00585378329556175,0.0250141793027308,1.24799688177229,0.0446960909463513,0.0903396252474407,1.13575369350621
"52","Spag5",1.39268743588232,5.91810625569836e-12,2.37837417833173e-10,1.09501528851689,0.0102676084474761,0.0296313929222944,1.27184291442049
"53","Hsf2bp",2.19494542595801,0.00469510633952336,0.0208879019253597,1.28587053442408,0.0209581611457156,0.0505580886731342,1.70697233290371
"54","Celf2",-0.935732130814071,5.24223700328822e-12,2.15998443268166e-10,-0.771908996119082,0.000582901672797694,0.00408157869039727,1.21223115097588
"55","Rhoc",1.11541812525624,1.02125540198472e-11,3.91767498411367e-10,0.77720144625326,0.00247940187621258,0.0107636446259567,1.43517247765487
"56","Rec8",3.29850956523249,0.0000116555403876668,0.000123112557073485,1.05066675956482,0.0286733453467987,0.0641434724709076,3.13944410556848
"57","Dhrs1",0.532297451808395,7.92026276868907e-07,0.0000111684306827655,0.591544366206865,0.00156760271756314,0.00781911636416892,0.899843667215739
"58","Tgfb1",0.704617836639469,0.0000957176540190482,0.000768610029584926,1.40960958773547,0.00000997379730849508,0.000465291750451186,0.499867369497276
