"","external_gene_name","log2FC_TSC","pval_TSC","padj_TSC","log2FC_HCR","pval_HCR","padj_HCR","Ratio"
"1","Mnt",-0.488976387283366,0.0183115693645037,0.0623021526513723,-0.0927750372188942,0.0394864080601513,0.403776317116452,5.27055986115824
"2","Scn4a",-0.607251528787256,3.09985010469691e-07,0.0000048581587666833,-0.159185062194457,0.00316729191872605,0.115521393452142,3.81475196488884
"3","Luzp1",0.41397058706845,0.0050241614224326,0.0220783183153449,0.179938385817227,0.00390898106681012,0.129059423286457,2.30062410079049
"4","Tcea3",-0.542681746665942,0.0000181347994023896,0.000181337250659321,-0.122595788774765,0.0252786958734993,0.330421297389006,4.4265937034996
"5","Cpa3",-1.46314858028306,0.00321705326540206,0.0153175294969595,-0.211608391634244,0.0217208885881757,0.307751608716772,6.9144166211142
"6","Slc1a5",-0.687491496980405,0.0315545675937418,0.0956898214902566,-0.0574748142120605,0.0492201958820424,0.442255048154808,11.9616132110287
"7","Vwf",-0.377329487364253,0.0349963343761389,0.103505016284361,-0.231931961397679,0.0400215870213274,0.40647996164151,1.62689732407027
"8","Blvra",0.5078529495691,0.00238837599895517,0.0120194986542529,0.275000681892903,0.00194268623914226,0.0901744346392586,1.84673341925341
"9","Dyrk1b",-1.01590194712214,4.46528483979042e-07,0.00000675354326261851,-0.158325929718609,0.016478657985029,0.26790609519776,6.41652285843317
"10","Rpl3l",-0.804553339019567,4.5880779606865e-12,1.92164188333567e-10,-0.345073828867609,0.00239334228668758,0.0996134718472167,2.33153972197713
"11","Prkra",0.661405188418947,0.00210576461802879,0.0108297382656027,0.195534064180237,0.00406065245599783,0.130247452067953,3.38255736253345
"12","Apoe",0.621619865820565,0.00557852054721266,0.0239714481457236,0.44334604206516,0.000360743504521816,0.0410245529864532,1.40210987995964
"13","Fam32a",0.313923130965891,0.038649031043277,0.111570412323429,0.326667485309221,0.00132446745997814,0.0787944211104716,0.960986768146618
"14","Inmt",-0.697960990276448,0.000836378947303138,0.00496736110187532,-0.215923694980543,0.000143835654223802,0.0268029709803421,3.23244278651004
"15","Impdh1",0.971937621550666,0.00000293020815571658,0.00003578797645466,0.120732331830321,0.00236530378001111,0.0989854588838264,8.0503507785855
"16","Rad23a",-0.378469549493205,0.0182049316995879,0.0620018244869539,-0.122434783420779,0.0175239517712829,0.27709748738341,3.09119303288589
"17","Lpcat3",-0.367349515318366,0.00139310868886553,0.00765768812094264,-0.116804169981405,0.0322227061601779,0.370579787018274,3.14500343075805
"18","Utp20",0.287772951688396,0.0261974136614808,0.0828840009732211,0.139925752101993,0.00860861408328298,0.194423433614125,2.05661179136372
"19","Ralb",0.833230358853533,0.0000362703805628591,0.000332360343930781,0.105170814751304,0.0223649621779652,0.312414145745385,7.92263862197761
"20","Ulk2",-0.287357334334909,0.00557374624154278,0.0239570315281387,-0.0610992605181737,0.0299371092514482,0.358141410421436,4.70312294940846
"21","Cstb",0.657809455015461,0.00235643392239625,0.0118977709171781,0.19745890469542,0.0222027183688806,0.311557576643279,3.33137396882724
"22","Plekha8",0.665538925193579,0.0000181119425007152,0.000181216050663646,0.281566471224327,0.000026303949223766,0.0102118280115782,2.36370091332124
"23","Insr",-0.526043438766356,0.000184143922700703,0.00136784152858091,-0.108428957250113,0.0118468263443745,0.228190751750453,4.85150325252075
"24","Tmod4",-0.871314215580261,8.35623389287704e-13,3.85368502398556e-11,-0.141160303529052,0.0299196562525699,0.358141410421436,6.17251588298645
"25","Htra1",-1.82919563899252,1.07076343185986e-17,9.51232419282244e-16,-0.28630838495719,0.00835325300784656,0.192124819180471,6.38889999420042
"26","Crip2",0.839632576914782,1.14706991411348e-07,0.00000199601990518778,0.208730841978101,0.0098877379270036,0.208466474627659,4.02256115559038
"27","Itih3",1.8646547499132,0.0122695458762789,0.0456262755773764,0.282409380366317,0.00544140560092361,0.153487012528574,6.60266577368828
"28","Prkag3",-0.852481879901241,0.00157880441512754,0.00847603044622703,-0.386975939479763,0.0274000226202678,0.342387709887588,2.20293251577162
"29","Aldh16a1",0.481128817244493,0.00747924456916383,0.0307233314876895,0.184611429732747,0.0156851904213367,0.260651979865121,2.60617025685245
"30","Ift43",1.0181830811554,4.08889673287365e-07,0.00000623360663646577,0.131096955588244,0.0499089850698116,0.444284023655867,7.76664169344525
"31","Ctsd",0.683772833739898,4.70117807775471e-07,0.00000707229810823724,0.194479209157187,0.0114528146420973,0.223825638791512,3.51591739139191
"32","Carhsp1",1.91345708691023,2.68800246680227e-27,6.77176024435158e-25,0.115838206431264,0.0439052464369604,0.423752436357067,16.5183590618319
"33","Zmat5",0.625984786805524,0.00350887876168991,0.0164838198214762,0.0870158707121664,0.0100440295969257,0.210529899593723,7.19391510631634
"34","Slc47a1",-0.615702468926127,0.000161011172886639,0.00121488939971103,-0.681013541372342,0.0023694613997594,0.0989854588838264,0.904097248470855
"35","Gabra1",-1.49915888884997,0.0196700447134793,0.0660717780534959,-0.0766838428160836,0.0115840148163262,0.225053720120118,19.5498664881142
"36","Gltp",1.11822175790934,2.19065635116793e-11,8.0733817797737e-10,0.203132350928115,0.0146903864237384,0.254260063471895,5.50489251367479
