Name,MR_W,MR_adj
C57BL/6J,0.4638200873138014,0.47006151331546486
DBA/2J,0.4349622854783155,0.48347480368339624
BXD1,0.3816825557349688,0.40998664333803436
BXD40,0.44636110072162666,0.49395993988353126
BXD43,0.45820689082638344,0.4833534111478841
BXD44,0.38390302964394274,0.4346863090004467
BXD45,0.4961112928528003,0.4864439543379837
BXD48,0.34016350749263297,0.3346077246721094
BXD48a,0.4888439293680771,0.44672754836398754
BXD49,0.3889214559325175,0.3209667690456651
BXD50,0.4674407524461784,0.46841508749306127
BXD51,0.4094586514050096,0.4255758729468865
BXD53,0.44876276089145073,0.4201365822307276
BXD55,0.6495040200508001,0.6600585485945161
BXD56,0.5002293342405136,0.49986002363566673
BXD60,0.35028338736596804,0.3368807139393428
BXD61,0.3928113635110085,0.3920927050367119
BXD62,0.38601775062823535,0.39021683523926964
BXD63,0.4319079947594739,0.45438066023403245
BXD64,0.4638998295191357,0.4815353706474673
BXD65,0.5303661614484647,0.5102452597631908
BXD65a,0.6133077865151427,0.559528561254039
BXD66,0.47197305279055307,0.45218806251821164
BXD68,0.668766195261592,0.6630223020498263
BXD69,0.5675423645859615,0.595523977232612
BXD70,0.5504228223813915,0.5797212077667371
BXD71,0.5524552473397218,0.5489955517358965
BXD73,0.5003731132168358,0.4828588840959175
BXD73a,0.6253271689207328,0.6142086931020481
BXD73b,0.5519579835874969,0.541914424290196
BXD75,0.49075621225378285,0.4796377364350981
BXD79,0.5686401136950873,0.5917846019955106
BXD81,0.3459165790984087,0.4261928805103803
BXD83,0.4267171012011797,0.4752564923192951
BXD84,0.36944514229955705,0.369882019085748
BXD85,0.6202116524470519,0.572613197183905
BXD87,0.43285074833207454,0.48474925357951426
BXD89,0.479716529442565,0.4973520705708966
BXD90,0.35993840438315083,0.3879200170298013
BXD95,0.5100628936954297,0.5150681656975017
BXD98,0.39762925300357843,0.42950743804024505
BXD99,0.508019049671296,0.5204143727578815
BXD100,0.5511782245226392,0.545958353115048
BXD101,0.401455315066371,0.441529738578589
BXD2,NA,NA
BXD6,NA,NA
BXD11,NA,NA
BXD12,NA,NA
BXD16,NA,NA
BXD27,NA,NA
BXD32,NA,NA
BXD34,NA,NA
BXD39,NA,NA
BXD65b,NA,NA
BXD67,NA,NA
BXD77,NA,NA
