,Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name
58,ENSMUSG00000000318,18.51967542,-0.218399959,0.304646279,-0.716896855,0.473437743,0.650110288,Clec10a
59,ENSMUSG00000000320,19.58949668,0.86288199,0.403261249,2.139759258,0.032374227,0.097614252,Alox12
60,ENSMUSG00000000325,5.284436223,0.077996203,0.429515162,0.181591269,0.855903501,0.923383407,Arvcf
61,ENSMUSG00000000326,1.109300987,-0.379198375,0.901428366,-0.420663904,0.674000523,0.806611942,Comt
62,ENSMUSG00000000339,101.8958724,0.53942659,0.14040778,3.841856832,0.000122107,0.000950228,Rtca
63,ENSMUSG00000000340,153.9589955,-0.216043457,0.139054324,-1.55366227,0.120264997,0.257021131,Dbt
64,ENSMUSG00000000346,419.0214271,0.140422803,0.152269784,0.922197426,0.356425605,0.542586892,Dazap2
65,ENSMUSG00000000355,169.4092946,0.18021021,0.140652127,1.281247674,0.200106686,0.36659211,Mcts1
66,ENSMUSG00000000359,12.46577469,-0.938699506,0.313211173,-2.997017946,0.002726347,0.01340851,Rem1
67,ENSMUSG00000000365,0.242482474,-1.07817115,1.668575873,-0.646162495,0.518174125,NA,Rnf17
68,ENSMUSG00000000374,286.8604248,0.00552177,0.080861148,0.068287065,0.945557121,0.972650679,Trappc10
69,ENSMUSG00000000378,100.7799585,0.697292794,0.114672536,6.08073058,1.20E-09,3.28E-08,Ccm2
70,ENSMUSG00000000381,0,NA,NA,NA,NA,NA,Wap
71,ENSMUSG00000000384,164.6631496,0.274708964,0.127689857,2.151376552,0.03144649,0.095489696,Tbrg4
72,ENSMUSG00000000385,0.386674408,-0.189680468,1.335825029,-0.141994995,0.887083959,NA,Tmprss2
73,ENSMUSG00000000386,0.633085709,0.316075218,1.359154209,0.232552874,0.816108625,0.899157799,Mx1
74,ENSMUSG00000000392,16.19240175,-0.254676807,0.265536145,-0.959104106,0.337506302,0.523696348,Fap
75,ENSMUSG00000000394,0,NA,NA,NA,NA,NA,Gcg
76,ENSMUSG00000000399,520.4339806,0.154558599,0.11814381,1.308224265,0.190797254,0.354598861,Ndufa9
77,ENSMUSG00000000402,1.862181808,-0.919620873,0.739472348,-1.243617663,0.213640312,0.383588654,Egfl6
78,ENSMUSG00000000409,1.103327358,-1.818613927,1.294422204,-1.404961936,0.160032597,0.314885202,Lck
79,ENSMUSG00000000411,0.085605554,0.253043845,3.512189115,0.072047329,0.942564243,NA,Tssk3
80,ENSMUSG00000000416,3.442880014,-0.392897448,0.508493799,-0.772669103,0.439718236,0.62108821,Cttnbp2
81,ENSMUSG00000000420,410.7346008,0.241857078,0.097039012,2.492369532,0.012689394,0.046734515,Galnt1
82,ENSMUSG00000000435,10.92597906,-0.277050677,0.295587819,-0.937287193,0.348610849,0.534872539,Myf5
83,ENSMUSG00000000439,282.3889851,-0.548366724,0.08501053,-6.450574096,1.11E-10,3.68E-09,Mkrn2
84,ENSMUSG00000000440,42.77758967,-0.241121197,0.268882138,-0.896754239,0.369850071,0.555479633,Pparg
85,ENSMUSG00000000441,545.8121775,0.13999884,0.095506172,1.4658617,0.142685968,0.290238184,Raf1
86,ENSMUSG00000000486,6.362271798,-0.290261837,0.448740824,-0.646836262,0.517737921,0.686049249,1-Sep
87,ENSMUSG00000000489,92.09428293,0.264899575,0.199557596,1.327434184,0.184365098,0.346266662,Pdgfb
88,ENSMUSG00000000530,92.37337484,-0.221738587,0.148349139,-1.49470761,0.134990767,0.278580409,Acvrl1
89,ENSMUSG00000000531,16.2205796,-0.329057461,0.289356607,-1.137203898,0.255453058,0.434230889,Grasp
90,ENSMUSG00000000532,491.987435,-0.600594339,0.169758104,-3.537942074,0.000403259,0.002641289,Acvr1b
91,ENSMUSG00000000538,1138.876328,-0.200418367,0.144731446,-1.384760344,0.16612576,0.322857595,Tom1l2
92,ENSMUSG00000000544,0,NA,NA,NA,NA,NA,Gpa33
93,ENSMUSG00000000552,57.54394455,-0.412063441,0.422580038,-0.975113361,0.329504032,0.514876741,Zfp385a
94,ENSMUSG00000000555,111.9725619,1.37731053,0.266024034,5.177391343,2.25E-07,3.65E-06,Itga5
95,ENSMUSG00000000560,0.30906686,-0.511140098,1.496228587,-0.341618989,0.732637645,NA,Gabra2
96,ENSMUSG00000000561,173.1097886,0.546916749,0.115318129,4.742677948,2.11E-06,2.67E-05,Wdr77
97,ENSMUSG00000000562,1.107395516,0.955679846,0.752356031,1.270249466,0.203995783,0.371278397,Adora3
98,ENSMUSG00000000563,573.3534755,0.133240392,0.203230515,0.655612137,0.512073714,0.681767548,Atp5f1
99,ENSMUSG00000000567,19.57952758,1.426354119,0.394063101,3.619608423,0.000295049,0.002037698,Sox9
100,ENSMUSG00000000568,135.8495594,-0.283193604,0.134217049,-2.109967449,0.03486116,0.103249959,Hnrnpd
101,ENSMUSG00000000579,4.74612481,0.086095418,0.486011038,0.177147042,0.859392892,0.925462079,Dynlt1c
102,ENSMUSG00000000581,152.1048726,-0.248419972,0.147376275,-1.68561712,0.09186957,0.211955504,C1d
103,ENSMUSG00000000594,207.0268628,-0.316496389,0.105028735,-3.013426659,0.002583155,0.012816305,Gm2a
104,ENSMUSG00000000600,120.4818791,0.147078959,0.147496351,0.997170153,0.318681926,0.503654703,Krit1
105,ENSMUSG00000000605,181.39896,-0.05180383,0.167739672,-0.308834693,0.757447277,0.862158783,Clcn4
106,ENSMUSG00000000606,0,NA,NA,NA,NA,NA,Vmn2r88
107,ENSMUSG00000000617,0.075169442,-0.47588739,3.651341545,-0.130332204,0.896303602,NA,Grm6
108,ENSMUSG00000000627,0.801461223,0.392406929,0.909838457,0.431292969,0.666255362,0.800863428,Sema4f
109,ENSMUSG00000000628,1075.620239,0.221057798,0.151447497,1.459633216,0.144390905,0.29268333,Hk2
110,ENSMUSG00000000631,998.5372076,-0.079228604,0.154265058,-0.513587492,0.607540426,0.756858429,Myo18a
111,ENSMUSG00000000632,2.64405393,-2.143507517,0.868133669,-2.469098474,0.013545394,0.049178899,Sez6
112,ENSMUSG00000000673,0.410595356,-0.250267712,1.878678932,-0.133214733,0.89402356,NA,Haao
113,ENSMUSG00000000682,3.048002272,1.116998181,0.638097487,1.75051337,0.080029769,0.191307531,Cd52
114,ENSMUSG00000000686,0.876102779,0.776732967,0.854376995,0.909122052,0.363285704,0.549256484,Abhd15
115,ENSMUSG00000000690,3.874629412,-0.023615359,0.452374652,-0.052203099,0.958366864,0.979077655,Hoxb6
116,ENSMUSG00000000693,6.487879683,-0.033675184,0.484801308,-0.069461825,0.944622018,0.97223268,Loxl3
117,ENSMUSG00000000701,0,NA,NA,NA,NA,NA,Tcl1b5
118,ENSMUSG00000000706,0.061263846,0.253042876,3.697420426,0.06843768,0.945437228,NA,Btn1a1
119,ENSMUSG00000000708,515.5802535,0.134169714,0.094550732,1.419023532,0.155892156,0.308963732,Kat2b
120,ENSMUSG00000000711,895.8523176,0.064250972,0.083288477,0.7714269,0.440453935,0.621867167,Rab5b
121,ENSMUSG00000000724,0.25706987,0.1972777,1.676540575,0.117669505,0.90632953,NA,Cryba1
122,ENSMUSG00000000730,0.844355438,-0.784827091,1.292711462,-0.60711699,0.543773276,0.707114725,Dnmt3l
123,ENSMUSG00000000731,0.028750267,0.404903003,3.697420426,0.109509592,0.912798314,NA,Aire
124,ENSMUSG00000000732,12.85068201,-0.032382882,0.308707978,-0.104898105,0.916456663,0.958477726,Icosl
125,ENSMUSG00000000738,719.6733295,-0.3281459,0.088732584,-3.698144315,0.000217181,0.001572951,Spg7
126,ENSMUSG00000000739,10.30695318,-0.650745302,0.358966455,-1.812830402,0.069857983,0.173071026,Sult5a1
127,ENSMUSG00000000740,429.2521482,-0.471063803,0.203732632,-2.31216668,0.0207685,0.068964612,Rpl13
128,ENSMUSG00000000743,133.4440327,0.436783473,0.129561643,3.371240616,0.000748305,0.004535237,Chmp1a
129,ENSMUSG00000000751,224.4857452,0.029478797,0.108137353,0.272605133,0.785156766,0.879347666,Rpa1
130,ENSMUSG00000000753,320.5507224,-0.07965244,0.206739205,-0.385279803,0.700030124,0.823751482,Serpinf1
131,ENSMUSG00000000759,97.68304758,-0.124725137,0.130570941,-0.955228909,0.33946195,0.525474894,Tubgcp3
132,ENSMUSG00000000766,0,NA,NA,NA,NA,NA,Oprm1
133,ENSMUSG00000000776,57.22116555,0.077243843,0.16898476,0.457105379,0.647595304,0.785707385,Polr3d
134,ENSMUSG00000000782,11.81992355,1.35643993,0.259110608,5.234984164,1.65E-07,2.78E-06,Tcf7
135,ENSMUSG00000000787,691.9146662,-0.60372483,0.101103806,-5.971336351,2.35E-09,6.08E-08,Ddx3x
136,ENSMUSG00000000791,0.665549626,-0.340446762,1.191506599,-0.285727971,0.77508648,0.872877282,Il12rb1
137,ENSMUSG00000000792,1.166184354,1.859905911,0.691350784,2.690249225,0.007139867,0.029581204,Slc5a5
138,ENSMUSG00000000794,5.989852916,1.236696205,0.442029623,2.797767709,0.00514571,0.022472043,Kcnn3
139,ENSMUSG00000000804,144.6644736,0.298488165,0.133098934,2.24260372,0.02492238,0.079595999,Usp32
140,ENSMUSG00000000805,115.353244,-0.711896093,0.27310086,-2.60671494,0.009141543,0.036094186,Car4
141,ENSMUSG00000000811,55.22202298,0.25770641,0.169136963,1.523655175,0.127594873,0.268470937,Txnrd3
142,ENSMUSG00000000817,0,NA,NA,NA,NA,NA,Fasl
143,ENSMUSG00000000823,149.4353045,-0.432590074,0.121376539,-3.564033696,0.000365199,0.002434516,Zfp512b
