Mouse,Rate
4117,10.429
4110,115.857
4112,106.571
4108,12.143
4109,12.714
4099,104.714
4111,42.714
4102,106.429
4113,65.286
4114,9.714
4115,18.429
4116,6.571
4107,5.571
4097,6.429
4100,23.286
4103,126.857
4087,10.143
4098,57
4104,127.286
4105,148.429
4093,123.714
4089,8
4091,64.429
4106,7.286
4096,18.429
4088,9.714
4090,128.143
4092,58.714
4097,12.286
4095,12.429
4086,12.429
