age,animal.id,MouseID,Sex,Genotype,assay,experiment.date,Cohort,Mass,Diet,start.date,injection.days,diet.time,Mass.Change
71,16953,4088,M,+/+,Total Fat Mass,2017-06-28,1,1.98,Control Diet,2017-06-21,7,0,0
71,16953,4088,M,+/+,Lean Mass,2017-06-28,1,20.11,Control Diet,2017-06-21,7,0,0
71,16954,4089,M,+/+,Body Weight,2017-06-28,1,23.7,Control Diet,2017-06-21,7,0,0
71,16954,4089,M,+/+,Total Fat Mass,2017-06-28,1,3.37,Control Diet,2017-06-21,7,0,0
71,16954,4089,M,+/+,Lean Mass,2017-06-28,1,18.67,Control Diet,2017-06-21,7,0,0
71,16955,4090,M,+/+,Body Weight,2017-06-28,1,24.6,Ketogenic Diet,2017-06-21,7,0,0
71,16955,4090,M,+/+,Total Fat Mass,2017-06-28,1,3.51,Ketogenic Diet,2017-06-21,7,0,0
71,16955,4090,M,+/+,Lean Mass,2017-06-28,1,19.26,Ketogenic Diet,2017-06-21,7,0,0
71,16956,4091,M,+/+,Body Weight,2017-06-28,1,26.2,Ketogenic Diet,2017-06-21,7,0,0
71,16956,4091,M,+/+,Total Fat Mass,2017-06-28,1,4.19,Ketogenic Diet,2017-06-21,7,0,0
71,16956,4091,M,+/+,Lean Mass,2017-06-28,1,20.18,Ketogenic Diet,2017-06-21,7,0,0
71,16957,4092,M,+/+,Body Weight,2017-06-28,1,22.7,Ketogenic Diet,2017-06-21,7,0,0
71,16957,4092,M,+/+,Total Fat Mass,2017-06-28,1,3,Ketogenic Diet,2017-06-21,7,0,0
71,16957,4092,M,+/+,Lean Mass,2017-06-28,1,18.17,Ketogenic Diet,2017-06-21,7,0,0
71,16958,4093,M,+/+,Body Weight,2017-06-28,1,22.4,Ketogenic Diet,2017-06-21,7,0,0
71,16958,4093,M,+/+,Total Fat Mass,2017-06-28,1,3.06,Ketogenic Diet,2017-06-21,7,0,0
71,16958,4093,M,+/+,Lean Mass,2017-06-28,1,17.61,Ketogenic Diet,2017-06-21,7,0,0
71,16959,4094,M,+/+,Body Weight,2017-06-28,1,26.5,Control Diet,2017-06-21,7,0,0
71,16959,4094,M,+/+,Total Fat Mass,2017-06-28,1,4.35,Control Diet,2017-06-21,7,0,0
71,16959,4094,M,+/+,Lean Mass,2017-06-28,1,20.22,Control Diet,2017-06-21,7,0,0
71,16960,4095,M,+/+,Body Weight,2017-06-28,1,23,Control Diet,2017-06-21,7,0,0
71,16960,4095,M,+/+,Total Fat Mass,2017-06-28,1,2.85,Control Diet,2017-06-21,7,0,0
71,16960,4095,M,+/+,Lean Mass,2017-06-28,1,18.49,Control Diet,2017-06-21,7,0,0
71,16961,4096,M,+/+,Body Weight,2017-06-28,1,23.8,Control Diet,2017-06-21,7,0,0
71,16961,4096,M,+/+,Total Fat Mass,2017-06-28,1,2.01,Control Diet,2017-06-21,7,0,0
71,16961,4096,M,+/+,Lean Mass,2017-06-28,1,20.02,Control Diet,2017-06-21,7,0,0
71,16963,4097,M,+/+,Body Weight,2017-06-28,1,25.4,Control Diet,2017-06-21,7,0,0
71,16963,4097,M,+/+,Total Fat Mass,2017-06-28,1,2.57,Control Diet,2017-06-21,7,0,0
71,16963,4097,M,+/+,Lean Mass,2017-06-28,1,21.01,Control Diet,2017-06-21,7,0,0
71,16964,4098,M,+/+,Body Weight,2017-06-28,1,24.4,Ketogenic Diet,2017-06-21,7,0,0
