s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	s94	s95	s96	s97	s98	s99	s100	s101	s102	s103	s104	s105	s106	s107	s108	s109	s110	s111	s112	s113	s114	s115	s116	s117	s118	s119	s120	s121	s122	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s135	s136	s137	s138	s139	s140	s141	s142	s143	s144	s145	s146	s147	s148	s149	s150	s151	s152	s153	s154	s155	s156	s157	s158	s159	s160	s161	s162	s163	s164	s165	s166	s167	s168	s169	s170	s171	s172	s173	s174	s175	s176	s177	s178	s179	s180	s181	s182	s183	s184	s185	s186	s187	s188	s189	s190	s191	s192	s193	s194	s195	s196	s197	s198	s199	s200	s201	s202	s203	s204	s205	s206	s207	s208	s209	s210	s211	s212	s213	s214	s215	s216	s217	s218	s219	s220	s221	s222	s223	s224	s225	s226	s227	s228	s229	s230	s231	s232	s233	s234	s235	s236	s237	s238	s239	s240	s241	s242	s243	s244	s245	s246	s247	s248	s249	s250	s251	s252	s253	s254	s255	s256	s257	s258	s259	s260	s261	s262	s263	s264	s265	s266	s267	s268	s269	s270	s271	s272	s273	s274	s275	s276	s277	s278	s279	s280	s281	s282	s283	s284	s285	s286	s287	s288	s289	s290	s291	s292	s293	s294	s295	s296	s297	s298	s299	
329	337	4857	1563	4317	298	4323	4850	2597	5556	5557	6507	2586	2165	2241	2245	392	1024	2232	1045	7156	2970	2971	4205	2478	1069	5863	2955	5464	828	1307	6282	5615	2890	4582	4737	3949	3724	6107	1529	3533	3547	5104	2759	1262	955	6919	6838	5763	7067	638	1804	5970	2565	2413	6992	1876	6170	6912	794	1589	3113	1677	5700	3397	536	2071	5341	5671	4801	3552	4835	4063	6768	7037	1211	854	2440	2452	2457	1167	1220	2834	2096	2804	3044	7163	2912	530	6980	5191	897	1961	4157	4601	3312	5024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
329	308	349	4857	7264	1558	1563	298	2662	4850	5535	3105	2597	415	5557	6507	2586	4975	2165	2245	392	1024	3979	2232	1045	2970	2971	5619	4205	2478	2469	1069	4967	5863	5468	2955	5464	6388	828	3418	1307	6282	3969	5615	6318	4313	6196	3949	6107	2378	1529	3537	5104	2756	2759	1262	3642	6919	6838	629	5763	1804	2565	1876	3166	794	3113	1677	5700	3397	5341	5132	5671	3552	4835	6446	4235	4063	6768	7037	1211	2452	5236	1220	2834	2096	5333	3044	7163	2912	530	3131	6118	6980	5191	897	1961	4601	6570	3312	5024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
329	684	308	6603	4857	4865	5737	1558	7279	5723	3984	6507	2586	5746	4982	7214	2165	3472	2730	392	1024	3774	2971	642	2478	3571	5863	5468	6388	723	828	3418	3969	1587	4515	4313	2902	3949	6107	2378	1529	4664	3248	1526	2759	1254	3642	5304	5994	6838	6135	629	5763	7131	4506	6241	2613	5420	2410	4905	1876	3113	2328	5700	7007	5952	2188	5132	5671	3552	6446	2522	4063	3616	1511	1211	6067	1625	4382	5380	7136	2452	5236	2096	5333	6235	5085	6118	3287	6980	5191	897	6055	4601	6570	5024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
336	308	6603	4877	4857	6326	591	5737	6395	5723	2209	5829	5612	4982	5562	3472	2730	2560	398	6479	1038	642	6531	2466	1063	5863	728	828	3418	5362	3961	3969	5806	1587	4515	4313	2902	6107	3580	6013	4518	3539	4650	1739	3941	2759	4522	1254	5865	3642	2401	5304	5994	6135	629	5763	2847	1105	7131	6241	1871	1876	7001	953	2081	3113	6048	5700	5949	5952	2188	6446	2522	3309	4056	1159	1211	1625	2536	255	4382	5380	7136	5236	2096	4417	5333	5340	6235	5085	6118	3287	6980	897	6055	4601	5024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4877	4857	4872	4875	2218	5737	2148	298	6395	5538	2029	733	593	4974	5562	3472	2730	2731	1274	398	2619	5396	642	6314	1977	3418	1303	6252	3969	4304	2696	1071	2902	6104	5511	4518	4665	432	3536	4650	1739	5483	2759	1245	1250	4224	4225	5865	2401	5994	6127	629	7131	1679	6241	1236	1876	6914	7001	6998	953	6048	5700	5952	2188	4421	6809	3309	4056	2742	1159	6	1211	2331	1625	2536	3613	5380	7139	5236	6073	2096	1476	5333	3337	3153	5340	5085	3287	897	1707	4601	5016	5024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
323	4877	2264	2218	298	6408	1576	6395	5538	5545	2029	2486	579	6615	5830	2032	3472	2730	2731	1274	2619	642	6944	1977	3418	1303	5595	6252	3969	5108	4304	5812	2696	1071	2902	4518	4665	3536	1866	1532	5712	6201	2759	1250	4225	3261	6127	1451	629	7131	1679	6241	1236	1876	6912	6914	5053	6998	944	1151	5700	5952	2875	5051	6637	3309	4056	2742	58	124	6856	6	3762	1211	2331	2536	3613	2815	5380	7139	6073	2096	942	3337	3153	5340	6702	935	5085	526	3287	897	1707	7104	4601	5016	5024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
326	323	4883	4885	2264	6409	5538	5545	2125	2486	2488	738	775	765	1582	2227	1274	3738	4949	1023	3087	3490	2619	2397	642	2287	6944	5577	7294	7298	6356	4544	1295	6252	383	5009	3969	5807	2888	659	5875	4748	4308	4665	3536	1532	6721	2759	1250	5433	4225	5796	3260	3261	2699	1451	629	1105	7131	1679	6303	4499	5880	2412	6914	4693	952	1151	6824	5952	2460	7197	1896	3797	3309	5309	3021	4056	3603	1156	6856	2826	7059	1211	1610	2331	1629	2536	1519	6776	2815	6976	1170	6073	2096	4405	942	935	6160	5085	3128	3287	4601	5024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4885	4887	2272	370	1549	666	7276	5545	2125	738	5610	2020	6583	765	4982	7225	1274	4949	6461	6463	2243	418	7241	7155	148	2979	4557	4555	3705	2288	2007	2008	2642	4963	4969	275	6356	5750	2956	4544	383	3969	5807	2888	659	5875	4307	4308	3954	4665	7150	1532	3933	2759	1247	1250	5433	4225	6552	3260	629	5173	1105	2433	5177	2784	4330	818	6914	441	4693	952	444	1151	6824	7025	5689	4207	7198	3198	3309	3021	64	1158	2057	2826	7059	3	6768	1211	1629	2536	6776	3668	5319	2815	6073	7047	2096	4257	942	3906	1928	6701	935	5085	3128	6984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
314	4885	2272	1549	5545	2027	2654	5723	3430	738	2020	6583	7225	1582	5476	1274	2243	7241	5748	2979	4557	7300	4963	275	264	2956	4544	383	2888	659	4307	4308	3954	3534	4656	1532	858	3933	2759	1247	1250	958	6552	3382	629	5437	4433	5177	2784	4330	4807	441	952	1151	545	5284	2194	4207	3309	3021	3023	1158	2057	2826	7059	6768	1211	6760	1629	2536	1518	6776	5319	2815	1237	6073	7047	3216	4051	3906	1928	3063	6701	935	3128	2066	5023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
309	6604	2140	4873	2211	3429	1556	1549	2254	670	2654	3430	405	765	7214	5476	2243	2714	5394	7154	2979	7246	4557	1064	1977	1305	606	1440	6956	5124	4307	3954	4517	1528	1250	4327	4328	4227	6895	621	5437	5443	1235	5177	2784	7001	5357	441	952	1467	545	2194	5664	4207	3309	3025	2058	1665	2826	7050	6768	3464	6760	1518	1404	5319	1348	1502	1237	6073	7047	3216	1928	3063	6701	3046	3364	5128	1512	5326	1834	5894	5023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
309	2263	3429	1549	5743	2654	4318	2022	7214	660	2244	2979	7246	4557	1064	4846	652	1440	5124	4307	4505	1528	4672	5788	5488	5491	5713	5876	1256	4727	4327	3450	6660	2847	2851	1235	5967	4903	6116	2297	6731	7001	4022	545	5954	5286	2194	5664	5482	1212	120	3025	5909	4246	1665	2826	7050	3464	6760	6761	1518	1713	5153	1348	1496	6072	1237	3216	477	3906	3063	6701	2099	6378	1512	5326	5976	1124	5023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
309	3508	6336	1562	1549	361	6615	7214	2247	1042	6475	4557	1888	2390	1064	4846	5599	822	839	652	658	1437	1440	5124	5092	4307	4517	4505	1528	4672	5713	5876	956	3450	2847	1235	2297	7001	849	3169	6714	1075	5954	2194	5664	2464	5482	1212	120	7095	3025	5909	2860	2097	1665	7050	6761	1713	5153	1237	505	3216	477	3906	2688	3063	6701	5335	6377	6378	3289	1512	5326	5324	1124	5023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4884	3508	690	6334	1562	1549	3091	4981	2247	2603	1042	2390	4846	5599	839	2889	652	658	5124	4505	1528	4672	4701	5713	5876	4732	956	2847	3932	7001	648	3169	4217	6714	5954	6083	2873	5664	6828	3551	4268	2464	5482	120	5265	7095	3025	5909	3608	2860	1665	7050	3376	1619	1713	5153	3212	1237	505	3216	477	3906	2688	3063	6701	5335	6378	3289	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
314	349	3508	1563	364	5742	5745	735	715	3750	1042	3700	2174	5102	564	1891	6513	2390	5859	839	7088	5934	2886	652	4505	4593	1860	5803	1123	648	5249	2322	5954	6083	2873	5664	6454	2464	5265	3608	4926	2930	1665	3376	1619	1713	5153	505	7114	477	5905	2068	3063	6701	6162	6378	1184	5980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
349	4857	3424	7270	5742	2256	4847	738	412	3738	3700	2112	564	5757	5515	2880	2886	6843	462	784	4726	7126	1123	7210	6240	5213	3569	6908	851	5249	1683	1385	2777	3566	2873	5664	3208	258	4263	5261	5049	2055	2930	3683	1713	5153	4913	1956	505	5478	250	477	6117	2068	1601	6378	4488	4074	2065	1131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
685	349	4882	2211	6518	6401	7275	745	2256	2125	412	664	4564	5857	2638	5578	6459	4537	5515	5613	2880	6558	3530	4726	7210	6240	1807	5213	3569	6908	851	1234	4430	1683	1385	6831	5649	258	4263	4626	4235	59	64	5049	2055	7315	5153	4912	4913	1165	7115	1967	1969	1479	3899	6117	2068	1601	6378	3864	5192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2211	2126	6518	754	2125	2159	2491	5612	2591	5406	1988	6479	3717	2978	2638	2466	269	6314	5941	6459	6456	1536	598	6318	6468	3727	1099	456	1097	865	868	4726	3384	6240	6891	1807	2410	2784	6167	6726	4430	5700	3396	1079	7013	3925	4263	1219	64	5049	2055	4912	1165	4106	6117	6157	7184	4477	3864	1821	2063	5192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
345	2211	3437	1577	6518	754	7277	6579	2159	738	5612	415	2584	2033	2227	1988	2978	5300	4332	5933	4582	598	5094	1099	5799	4589	1737	1097	868	6240	6891	4430	3396	6030	64	2055	1165	3358	4106	3885	471	6117	6157	1377	4477	3864	3073	5324	5192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2139	3502	307	3497	680	3089	7276	5548	669	358	7219	714	3087	3741	5101	2980	4734	4556	702	7082	5817	3596	6197	3260	6835	2768	2300	4187	4430	4898	7023	4813	987	4835	2738	1693	1711	5323	2812	3358	3327	6709	1377	5073	5078	3864	3073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
