h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
6.088288e-01	5.250633e-01	3.467859e-01	0.000000e+00	1.417037e-04	0	
3.775498e-01	2.860519e-01	7.585952e-01	5.789493e-01	1.865462e-04	1	
3.693028e-01	2.596795e-01	1.171709e-01	1.077066e-01	1.939267e-04	1	
4.147144e-01	2.971631e-01	2.636716e-01	2.870808e-02	2.619124e-04	2	
5.025374e-01	3.819160e-01	8.696558e-01	7.554783e-01	2.785317e-04	1	
1.903999e-01	2.241240e-01	1.932714e-01	2.371566e-01	3.371393e-04	5	
5.029163e-01	5.441863e-01	4.089177e-01	3.066678e-01	3.643212e-04	3	
6.631259e-01	3.584301e-01	6.794380e-01	0.000000e+00	2.913796e-04	0	
7.180523e-02	1.412883e-01	6.324456e-01	7.400274e-01	3.460875e-04	3	
6.774314e-01	5.293035e-01	3.220736e-01	0.000000e+00	2.493481e-04	0	
1.770505e-01	2.884685e-01	9.924031e-01	9.942131e-01	3.185042e-04	2	
6.578415e-02	4.961778e-02	8.313109e-01	7.490521e-01	5.043005e-04	3	
3.251381e-01	2.474975e-01	6.449080e-01	6.118325e-01	6.803821e-04	6	
7.396780e-01	6.408676e-01	1.588311e-02	3.364510e-03	7.062538e-04	3	
7.814453e-02	1.127239e-01	1.942757e-01	2.306976e-01	8.604338e-04	6	
6.619634e-01	4.094544e-01	4.011097e-01	9.329805e-02	6.494327e-04	2	
3.495993e-01	3.139649e-01	4.530121e-01	2.404808e-01	6.248467e-04	2	
2.834550e-01	3.267927e-01	4.719297e-01	5.187336e-01	9.402540e-04	5	
2.332085e-01	1.737518e-01	2.018541e-01	2.383170e-01	8.922120e-04	10	
5.960867e-01	5.327708e-01	6.304142e-01	4.560589e-01	6.406995e-04	3	
2.454437e-01	3.521493e-01	4.903152e-01	5.137370e-01	9.637883e-04	9	
5.734786e-01	5.783865e-01	2.469509e-02	2.852956e-02	1.366429e-03	7	
1.725257e-01	1.668168e-01	9.100066e-01	9.293653e-01	1.577605e-03	7	
4.689485e-01	3.749836e-01	5.202190e-01	5.895980e-01	7.088738e-04	1	
3.853176e-01	4.889694e-01	1.997153e-01	4.364481e-01	1.004264e-03	12	
7.143690e-01	5.964719e-01	5.488568e-01	4.906878e-01	1.440824e-03	9	
2.603523e-01	4.317275e-01	7.750469e-01	9.062984e-01	1.247181e-03	12	
4.545075e-01	4.421079e-01	2.156710e-02	6.532218e-03	1.167196e-03	7	
7.667308e-01	5.118437e-01	8.137292e-01	5.494300e-01	1.303920e-03	3	
6.897771e-01	3.845240e-01	8.886509e-01	6.727982e-01	1.487518e-03	7	
3.226443e-01	2.893671e-01	8.821149e-01	8.791952e-01	1.461092e-03	17	
6.155216e-01	6.800244e-01	8.651320e-02	2.162923e-01	1.615247e-03	15	
7.233599e-02	5.266829e-02	5.927570e-01	5.449282e-01	1.922841e-03	10	
4.499290e-01	3.794581e-01	5.358268e-01	2.712981e-01	2.283962e-03	16	
5.201199e-01	4.367599e-01	2.565857e-01	4.344905e-01	1.785448e-03	13	
6.088672e-01	6.871133e-01	5.072189e-01	6.503836e-01	1.298828e-03	14	
3.098017e-01	3.798249e-01	5.026270e-01	5.213805e-01	1.607663e-03	12	
2.011809e-01	2.174040e-01	5.383404e-01	5.518270e-01	1.390064e-03	14	
1.603287e-01	2.043846e-01	4.575202e-01	6.207709e-01	1.114352e-03	12	
2.282624e-01	3.075052e-01	3.857985e-01	6.307932e-01	4.472407e-04	4	
6.004227e-01	4.032653e-01	6.011530e-01	1.917099e-01	3.738729e-04	2	
2.069788e-01	1.314448e-01	5.647001e-01	5.123819e-02	2.853767e-04	1	
1.277892e-01	8.529678e-02	7.663918e-02	5.226884e-02	3.646314e-04	4	
3.743203e-01	3.931602e-01	4.004813e-01	2.320559e-01	7.990656e-04	6	
4.241252e-01	3.196924e-01	5.686700e-01	1.948425e-01	3.689027e-04	4	
