age,animal.id,MouseID,Sex,Genotype,values,assay,experiment.date
77,23221,8068,M,+/+,5520,Total Fat Mass,2019-08-06
77,23221,8068,M,+/+,18080,Lean Mass,2019-08-06
84,23221,8068,M,+/+,27300,Body Weight,2019-08-13
84,23221,8068,M,+/+,6990,Total Fat Mass,2019-08-13
84,23221,8068,M,+/+,18510,Lean Mass,2019-08-13
91,23221,8068,M,+/+,27800,Body Weight,2019-08-20
91,23221,8068,M,+/+,7520,Total Fat Mass,2019-08-20
91,23221,8068,M,+/+,18280,Lean Mass,2019-08-20
92,23221,8068,M,+/+,"08,33,26,19,17,19,16",Plasma Glucose,2019-08-21
63,23222,8069,M,+/+,24900,Body Weight,2019-07-23
63,23222,8069,M,+/+,4070,Total Fat Mass,2019-07-23
63,23222,8069,M,+/+,18740,Lean Mass,2019-07-23
70,23222,8069,M,+/+,26900,Body Weight,2019-07-30
70,23222,8069,M,+/+,3770,Total Fat Mass,2019-07-30
70,23222,8069,M,+/+,21190,Lean Mass,2019-07-30
72,23222,8069,M,+/+,"04,22,22,17,13,08,07",Plasma Glucose,2019-08-01
77,23222,8069,M,+/+,27800,Body Weight,2019-08-06
77,23222,8069,M,+/+,5630,Total Fat Mass,2019-08-06
77,23222,8069,M,+/+,20220,Lean Mass,2019-08-06
84,23222,8069,M,+/+,27500,Body Weight,2019-08-13
84,23222,8069,M,+/+,6120,Total Fat Mass,2019-08-13
84,23222,8069,M,+/+,19400,Lean Mass,2019-08-13
91,23222,8069,M,+/+,27600,Body Weight,2019-08-20
91,23222,8069,M,+/+,6250,Total Fat Mass,2019-08-20
91,23222,8069,M,+/+,19200,Lean Mass,2019-08-20
92,23222,8069,M,+/+,"07,29,26,21,17,17,14",Plasma Glucose,2019-08-21
63,23223,8070,M,+/+,22800,Body Weight,2019-07-23
63,23223,8070,M,+/+,3440,Total Fat Mass,2019-07-23
63,23223,8070,M,+/+,17060,Lean Mass,2019-07-23
70,23223,8070,M,+/+,24600,Body Weight,2019-07-30
70,23223,8070,M,+/+,3260,Total Fat Mass,2019-07-30
70,23223,8070,M,+/+,19250,Lean Mass,2019-07-30
72,23223,8070,M,+/+,"04,16,22,23,17,12,11",Plasma Glucose,2019-08-01
77,23223,8070,M,+/+,26100,Body Weight,2019-08-06
77,23223,8070,M,+/+,5760,Total Fat Mass,2019-08-06
77,23223,8070,M,+/+,18570,Lean Mass,2019-08-06
84,23223,8070,M,+/+,27800,Body Weight,2019-08-13
84,23223,8070,M,+/+,6760,Total Fat Mass,2019-08-13
84,23223,8070,M,+/+,19030,Lean Mass,2019-08-13
91,23223,8070,M,+/+,28200,Body Weight,2019-08-20
91,23223,8070,M,+/+,6910,Total Fat Mass,2019-08-20
91,23223,8070,M,+/+,19200,Lean Mass,2019-08-20
