Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
F2,FALSE,4090,Slc16a6,Unknown,SYBR-NFQ-MGB,35.88875449,0.875314781,2.404492768,Amp,FALSE,10588.33268,3,31,83.63570404,75.15402985,,,,
F3,FALSE,4088,Slc16a6,Unknown,SYBR-NFQ-MGB,34.15768358,0.936453964,2.595414222,Amp,FALSE,10588.33268,3,24,74.8147583,81.14774323,,,,
F4,FALSE,4110,Slc16a6,Unknown,SYBR-NFQ-MGB,35.65691129,0.885681508,2.474075273,No Amp,FALSE,10588.33268,3,29,81.03465271,83.63570404,74.70167542,66.10690308,,
F5,FALSE,4115,Slc16a6,Unknown,SYBR-NFQ-MGB,32.97940172,0.936294347,2.667280292,Amp,FALSE,10588.33268,3,26,74.82732391,81.16551208,,,,
F6,FALSE,4087,Slc16a6,Unknown,SYBR-NFQ-MGB,34.8739393,0.925327764,2.548256905,Amp,FALSE,10588.33268,3,26,74.60095978,81.16551208,83.65550995,,,
F7,FALSE,4089,Slc16a6,Unknown,SYBR-NFQ-MGB,33.98351187,0.829348199,2.628247419,Amp,FALSE,10588.33268,3,28,81.05233002,,,,,
F8,FALSE,4091,Slc16a6,Unknown,SYBR-NFQ-MGB,34.34683118,0.931313646,2.590947005,Amp,FALSE,10588.33268,3,29,74.71414185,83.76869202,,,,
F9,FALSE,4112,Slc16a6,Unknown,SYBR-NFQ-MGB,36.0157751,0.847574357,2.404328893,Inconclusive,FALSE,10588.33268,3,31,83.76061249,,,,,
F10,FALSE,4106,Slc16a6,Unknown,SYBR-NFQ-MGB,35.67721286,0.886473344,2.442693377,Amp,FALSE,10588.33268,3,31,83.76061249,81.2714386,74.70906067,66.11009216,,
F11,FALSE,4102,Slc16a6,Unknown,SYBR-NFQ-MGB,34.88835371,0.93530568,2.548715061,Inconclusive,FALSE,10588.33268,3,29,81.15829468,,,,,
