Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,FALSE,4086,Slc16a1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0.317744986,3,39,78.76607513,86.96890259,61.46147919,,,
A2,FALSE,4086,Slc16a1,Unknown,SYBR,Undetermined,0,0.551977754,No Amp,FALSE,0.317744986,3,11,87.41837311,67.86642456,64.38303375,70.6756134,,
A3,FALSE,4086,Slc16a1,Unknown,SYBR,26.17756798,0.985893355,1.619983473,Amp,FALSE,0.317744986,3,20,78.09187317,,,,,
A4,FALSE,4094,Slc16a1,Unknown,SYBR,23.26327853,0.966708177,1.628388942,Amp,FALSE,0.317744986,3,18,78.42897034,,,,,
A5,FALSE,4094,Slc16a1,Unknown,SYBR,23.5488523,0.967925544,1.617975388,Amp,FALSE,0.317744986,3,17,77.99401855,,,,,
A6,FALSE,4094,Slc16a1,Unknown,SYBR,23.44652806,0.948310974,1.610912798,Amp,FALSE,0.317744986,3,19,78.10647583,,,,,
A7,FALSE,4103,Slc16a1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0.317744986,3,39,70.12185669,61.79985428,86.42848206,83.61699677,,
A8,FALSE,4103,Slc16a1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0.317744986,3,39,88.22783661,90.70194244,61.91231155,71.24645233,,
A9,FALSE,4103,Slc16a1,Unknown,SYBR,23.65494929,0.944074478,1.617812239,Amp,FALSE,0.317744986,3,19,78.21303558,,,,,
A10,FALSE,4111,Slc16a1,Unknown,SYBR,25.71868623,0.950471499,1.606713077,Amp,FALSE,0.317744986,3,22,78.43787384,,,,,
A11,FALSE,4111,Slc16a1,Unknown,SYBR,25.01611889,0.989592173,1.69525918,Amp,FALSE,0.317744986,3,20,77.87577057,,,,,
A12,FALSE,4111,Slc16a1,Unknown,SYBR,27.82221848,0.993637334,1.496852007,Amp,FALSE,0.317744986,3,22,77.9881897,,,,,
A13,FALSE,8064,Slc16a1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0.317744986,3,39,86.51084137,61.90995789,75.95155334,65.05527496,,
A14,FALSE,8064,Slc16a1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0.317744986,3,39,69.77325439,90.6671524,79.09687805,65.27994537,,
A15,FALSE,8064,Slc16a1,Unknown,SYBR,28.02873561,0.703460037,1.57548875,Amp,FALSE,0.317744986,3,22,78.19821167,,,,,
