# File Name: 2024-01-15 Slc16a1.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: Bridgeslab
# Instrument Serial Number: 272530351
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2024-01-15 05:23:09 PM UTC
# Run End Data/Time: 2024-01-15 07:10:50 PM UTC
# Run Duration: 107 minutes 41 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-01-15 11:58:28 PM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-01-15 11:58:38 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"21","A21","FALSE",,"Rplp0","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.7266989469069179","TRUE","3","39","83.89933013916016","76.86354064941406","87.0263442993164","69.60440063476562"
"22","A22","FALSE",,"Rplp0","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.7266989469069179","TRUE","3","39","80.54895782470703","75.63507080078125","72.39637756347656","90.2650375366211"
"23","A23","FALSE",,"Rplp0","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.7266989469069179","TRUE","3","39","69.49272155761719","78.53872680664062","90.2650375366211","72.28469848632812"
"24","A24","FALSE",,"Rplp0","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.7266989469069179","TRUE","3","39","72.39637756347656","64.69052124023438","77.19857788085938","91.1584701538086"
"25","B1","FALSE","4100","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6305002898193859","","","20.975826537337696","0.9421578852036061","21.098794673216876","0.15785649351519732","TRUE","0.7266989469069179","TRUE","3","15","84.01581573486328","","",""
"26","B2","FALSE","1740","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6336059731696626","","","22.256149514408598","0.9634645883831033","22.243852556895018","0.0504941654335377","TRUE","0.7266989469069179","TRUE","3","15","83.90359497070312","","",""
"27","B3","FALSE","4089","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.640104125274052","","","22.738651719548947","0.9729185598467904","22.95443254952644","0.20499229151583126","TRUE","0.7266989469069179","TRUE","3","16","84.12803649902344","","",""
"28","B4","FALSE","4087","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.6296636050867062","","","23.913182897549447","0.9855797391834729","23.930714683355387","0.015648570367277313","TRUE","0.7266989469069179","TRUE","3","16","83.79136657714844","","",""
"29","B5","FALSE","4113","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.629524925980513","","","22.759649378882656","0.9818312570312067","22.4549679984394","0.45046226680921725","TRUE","0.7266989469069179","TRUE","3","15","83.93790435791016","","",""
"30","B6","FALSE","4109","Rplp0","UNKNOWN","SYBR","NFQ-MGB","AMP","1.62451006601438","","","19.529720137294866","0.946700630357957","19.36077583306216","0.39126939092272556","TRUE","0.7266989469069179","TRUE","3","13","83.93790435791016","","",""
