UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	1
0	0
0	0
1	0
0	0
1	0
0	0
1	0
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	2
0	2
0	1
0	0
0	0
0	0
1	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	1
1	1
2	3
0	3
1	0
5	2
0	1
0	0
1	0
2	0
0	0
8	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
5	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	3
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	47
0	0
0	47
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
179	62
0	0
0	0
11	1
0	1
0	0
0	0
1840	1
0	0
0	0
0	0
0	0
0	0
0	0
36	21
0	1
0	20
0	0
0	0
0	0
7	7
0	7
11	880
1	767
0	787
10	1
0	1
0	0
0	0
2	24
11	24
0	24
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
44	12
0	12
0	0
3	74
0	74
0	0
0	0
0	0
0	0
0	0
4	21
0	0
0	370
0	0
0	370
0	31
0	0
0	31
0	0
0	0
0	0
0	370
0	0
0	35
0	30
6	39
0	10
0	102
91	107
0	98
0	130
0	129
0	0
2	8
0	0
0	0
34	1
3	0
11	86
1	86
62	70
4	1
0	2
0	3
4	0
3	0
0	0
