Gene Name,ENSEMBL Gene ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cyp2b10,ENSMUSG00000030483,7.31991232055397,7.239164286426,0.67859548758198,10.6678638731022,1.43896409107055e-26,3.3271609442712e-24
Gdf15,ENSMUSG00000038508,3.23313278149303,5.53428544316415,0.74967650357613,7.38223142484036,1.55658315119146e-13,8.23622790249548e-12
Nppb,ENSMUSG00000029019,1.53389660927747,5.31406951666541,0.924386280480146,5.74875420468722,8.9903401173099e-9,2.01792487819247e-7
Crisp1,ENSMUSG00000025431,0.959844401613945,4.63297121270273,0.987598441213553,4.69114876994923,2.7167533154458e-6,3.35205257393346e-5
Guca2a,ENSMUSG00000023247,1.43209163436466,4.58894785035105,0.751979079065397,6.10249404285883,1.04426003475746e-9,2.91822270309125e-8
Lipn,ENSMUSG00000024770,1.00101310584459,4.48959214129575,1.07271549532589,4.18525896275209,2.84841181270563e-5,2.6934645930901e-4
Timp1,ENSMUSG00000001131,13.978933663466,4.242233964787,0.44537007432734,9.52518862250502,1.64742471983236e-21,2.27805637435477e-19
Rnase1,ENSMUSG00000035896,1.21425527442668,4.19189097945376,0.788730316031743,5.31473292486586,1.06813872372772e-7,1.86636785898553e-6
Tac4,ENSMUSG00000020872,1.1081906295106,4.00191156697833,1.01279207017653,3.95136542319177,7.77065652711935e-5,6.40434138287341e-4
Ndrg4,ENSMUSG00000036564,78.1100452889733,3.98097675425841,0.548864213517134,7.2531177224112096,4.07285789123061e-13,1.969792789286e-11
Vwc2,ENSMUSG00000050830,0.599174149710436,3.93270294591154,1.265841488871,3.10678942070315,0.00189131070905628,NA
Grem2,ENSMUSG00000050069,37.1900156476921,-3.90263160331335,0.891836397727347,-4.3759501330719,1.20904655372743e-5,1.27149512650251e-4
Mmp10,ENSMUSG00000047562,0.556089502144798,3.83801326297624,1.43990384684323,2.66546496933841,0.00768819411186816,NA
Lep,ENSMUSG00000059201,18.2296353805816,-3.82228883479439,1.34927935889671,-2.83283725463631,0.00461368687518911,0.0206016986154278
Dock3,ENSMUSG00000039716,1.17535537177158,3.82113288602139,0.776095215225576,4.92353619898399,8.49941455876112e-7,1.18759617828915e-5
Scgb1c1,ENSMUSG00000038801,0.609293836727026,3.69866208491029,1.32470384406751,2.79206714880023,0.00523724864202763,NA
Spock3,ENSMUSG00000054162,0.97208863812145,3.69445177865272,0.829607749305416,4.45325128863114,8.45796686698226e-6,9.25223737834048e-5
Dkk3,ENSMUSG00000030772,115.021924209452,-3.6906709648378,0.44649787957373,-8.26581969070327,1.38738116120078e-16,1.0791523787976e-14
Gpx6,ENSMUSG00000004341,0.55976329801664,3.57728258682004,3.60441061925123,0.992473656501204,0.320966523948593,NA
Mmp12,ENSMUSG00000049723,5.98577605717583,3.5746056284067,0.438369910517325,8.15431338384577,3.51169198975267e-16,2.58837768973953e-14
Klk1,ENSMUSG00000063903,0.628716223963727,3.51142097817581,1.37056048295735,2.56203284848763,0.0104061475742093,0.0399739109934181
Thsd4,ENSMUSG00000032289,21.7011068924403,3.31698800969278,0.256410876098711,12.936221973735,2.81117492764868e-38,1.53063940657361e-35
Shbg,ENSMUSG00000005202,1.20399562589127,3.24072177238685,0.761144709069153,4.25769467195025,2.06545779100341e-5,2.04115117414207e-4
Strc,ENSMUSG00000033498,1.49027946469907,3.12736475626231,0.87744020895598,3.56419129684449,3.64979712127117e-4,0.00243401523547752
Cela1,ENSMUSG00000023031,2.91113224715019,3.12274971424497,0.721988315712768,4.32520810418116,1.52387932591145e-5,1.55699510545154e-4
Brinp1,ENSMUSG00000028351,0.412640011791567,3.08641673652452,1.27143062662043,2.42751485759666,0.0152026641382183,NA
Itih4,ENSMUSG00000021922,2.3101143914428,3.06997691956091,0.527519036741517,5.81965143575509,5.89704746239535e-9,1.37352958575269e-7
Orm1,ENSMUSG00000039196,3.39205035538152,-3.01516325375353,1.00815854713075,-2.99076297308076,0.00278281404364125,0.0136268196915511
Postn,ENSMUSG00000027750,109.691485062412,2.9974458581865,0.385339667973519,7.77871085515257,7.32673049441641e-15,4.72014824485705e-13
Ces2b,ENSMUSG00000050097,1.63034491931975,-2.99571540664264,1.16349798630551,-2.57474911164652,0.0100312820878793,0.0388255011147248
Clca3b,ENSMUSG00000037033,0.301137918187133,2.94891085696964,1.75664478593773,1.67871779233697,0.0932070566895138,NA
Mthfd2,ENSMUSG00000005667,24.9566712173717,2.81116599720395,0.262911429009567,10.6924450100709,1.10421011840265e-26,2.62506515331244e-24
Insl6,ENSMUSG00000050957,1.69242907734786,2.768155859926,0.735652598090542,3.76285745080084,1.67982960789139e-4,0.00125905168523973
Calcb,ENSMUSG00000030666,0.264152119230079,2.75872336593402,1.58435231757286,1.74123099725712,0.081643095896049,NA
Fam19a4,ENSMUSG00000046500,0.881896247886669,-2.70273300410027,1.11967255188184,-2.41386019471298,0.0157845176374417,0.0554940373260526
Serpina3n,ENSMUSG00000021091,123.650497699203,2.69608179261541,0.502069387102548,5.36993862178006,7.87634444777856e-8,1.42797871035504e-6
Ces1e,ENSMUSG00000061959,1.33191734591391,-2.6904060917909,1.06627790002342,-2.52317532955697,0.0116300399135956,0.0437688837684684
Fstl5,ENSMUSG00000034098,0.223210913360006,2.51994924757216,2.26349256456628,1.11330131453515,0.265579042071268,NA
Casq2,ENSMUSG00000027861,327.118191188545,2.50762332189271,0.465655855307211,5.38514289751244,7.23871159151424e-8,1.32231832200399e-6
